BGPG_1_c0_g1	AT2G03760.1
BGPG_10006_c0_g2	AT1G50640.1
BGPG_10008_c0_g1	AT5G12060.1
BGPG_10012_c0_g1	AT1G48745.1
BGPG_10014_c0_g1	AT1G27190.1
BGPG_10015_c0_g1	AT5G05800.5
BGPG_10018_c0_g1	AT3G16175.1
BGPG_10018_c0_g2	AT3G16175.1
BGPG_10019_c0_g1	AT5G66200.1
BGPG_10024_c0_g1	AT2G46660.1
BGPG_10027_c0_g1	AT4G27860.1
BGPG_10028_c0_g2	AT3G20640.4
BGPG_10029_c0_g1	AT1G68330.1
BGPG_10031_c0_g2	AT1G06650.2
BGPG_10031_c0_g3	AT1G06650.2
BGPG_10033_c0_g1	AT2G02955.1
BGPG_10034_c0_g2	AT5G26940.4
BGPG_10036_c0_g1	AT5G52290.1
BGPG_10037_c0_g2	AT5G46530.1
BGPG_10037_c0_g3	AT5G46530.1
BGPG_10044_c0_g1	AT5G28500.1
BGPG_10045_c0_g1	AT5G17380.1
BGPG_10047_c0_g1	AT4G29940.1
BGPG_10048_c0_g1	AT2G16710.1
BGPG_10050_c0_g1	AT5G24400.1
BGPG_10051_c0_g1	AT3G23750.1
BGPG_10053_c0_g1	AT5G24910.1
BGPG_10057_c0_g1	AT1G10290.1
BGPG_10060_c0_g1	AT4G18760.1
BGPG_10061_c0_g2	AT5G01015.1
BGPG_10062_c0_g1	AT1G72210.1
BGPG_10064_c0_g1	AT3G04670.2
BGPG_10065_c0_g1	AT1G08820.5
BGPG_10070_c0_g1	AT3G62820.1
BGPG_10071_c0_g2	AT3G53630.2
BGPG_10073_c0_g2	AT4G33030.1
BGPG_10074_c0_g1	AT2G22420.1
BGPG_10075_c0_g2	AT1G08480.1
BGPG_10078_c0_g1	AT1G23380.1
BGPG_10078_c0_g2	AT1G70510.1
BGPG_10081_c0_g1	AT1G76890.2
BGPG_10086_c0_g1	AT3G23750.1
BGPG_10090_c0_g1	AT3G42860.1
BGPG_10091_c0_g2	AT1G06660.1
BGPG_10093_c0_g1	AT5G54500.1
BGPG_10094_c0_g1	AT5G49720.1
BGPG_10096_c0_g1	AT4G24990.2
BGPG_1010_c0_g1	AT3G59440.1
BGPG_10100_c0_g1	AT5G51910.2
BGPG_10103_c0_g1	AT4G38460.1
BGPG_10106_c0_g1	AT1G02970.1
BGPG_10109_c0_g2	AT5G42560.3
BGPG_10112_c0_g1	AT1G16670.1
BGPG_10113_c0_g1	AT2G03440.1
BGPG_10115_c0_g1	AT3G13050.4
BGPG_10115_c0_g2	AT3G13050.4
BGPG_10116_c0_g1	AT2G36460.1
BGPG_10116_c1_g1	AT2G36460.3
BGPG_10117_c0_g3	AT2G17975.2
BGPG_10118_c0_g1	AT1G73530.1
BGPG_10118_c0_g2	AT1G73530.1
BGPG_10120_c0_g2	AT4G34860.3
BGPG_10122_c0_g2	AT4G00310.2
BGPG_10123_c0_g1	AT2G43020.1
BGPG_10123_c0_g2	AT2G43020.1
BGPG_10125_c0_g1	AT5G09500.1
BGPG_10126_c0_g1	AT3G06370.2
BGPG_10126_c0_g2	AT3G06370.2
BGPG_10129_c0_g1	AT1G34300.1
BGPG_10132_c0_g2	AT1G19220.1
BGPG_10133_c0_g1	AT1G68490.1
BGPG_10135_c0_g1	AT1G67030.1
BGPG_10138_c0_g1	AT1G65870.1
BGPG_1014_c0_g1	AT5G48840.1
BGPG_10140_c0_g1	AT2G37370.3
BGPG_10141_c0_g1	AT3G59710.1
BGPG_10141_c0_g3	AT3G59710.3
BGPG_10142_c0_g1	AT4G39790.1
BGPG_10143_c0_g3	AT2G29380.1
BGPG_10144_c0_g2	AT5G15300.1
BGPG_10145_c0_g1	AT3G14920.1
BGPG_10147_c0_g1	AT1G32170.1
BGPG_10148_c0_g1	AT2G46920.4
BGPG_10150_c0_g1	AT1G69010.1
BGPG_10150_c0_g2	AT1G69010.1
BGPG_10154_c0_g2	AT4G37370.1
BGPG_10163_c0_g2	AT1G50430.2
BGPG_10165_c0_g2	AT5G49480.1
BGPG_10166_c0_g1	AT2G04160.1
BGPG_10172_c0_g1	AT5G42800.1
BGPG_10173_c0_g1	AT4G22990.1
BGPG_10180_c0_g1	AT4G03500.3
BGPG_10183_c0_g1	AT5G59590.1
BGPG_10188_c0_g1	AT1G36940.1
BGPG_10190_c0_g1	AT5G08350.1
BGPG_10191_c0_g4	AT1G11755.1
BGPG_10193_c0_g1	AT3G06240.1
BGPG_10195_c0_g1	AT3G16785.4
BGPG_10195_c1_g1	AT3G16785.1
BGPG_102_c0_g1	AT5G03530.2
BGPG_10204_c0_g1	AT3G16070.1
BGPG_10206_c0_g1	AT5G13840.2
BGPG_10207_c0_g2	AT2G28940.1
BGPG_10213_c0_g2	AT2G37690.1
